ClusterID	ClusterName	Total
000140.6	SIG+Toast-rack	6
000141.6	Toast-rack	6
000142.6	SIG+Toast-rack	6
000143.6	SIG+Toast-rack	6
000144.6	SIG+Toast-rack	6
000145.6	SIG+TM+Toast-rack	6
000146.6	SIG+Toast-rack	6
000147.6	SIG+Toast-rack	6
000148.6	Toast-rack	6
000149.6	SIG+Toast-rack	6
000150.6	Toast-rack	6
000151.6	Toast-rack	6
000152.6	Toast-rack	6
000153.6	SIG+Toast-rack	6
000154.6	SIG+Toast-rack	6
000155.6	Toast-rack	6
000156.6	SIG+Toast-rack	6
000157.6	DUF1707-SHOCT-bihelical+Toast-rack	6
000158.6	Toast-rack	6
000159.6	Toast-rack	6
000000.1	MA	5
000000.1	PspA+PspA	5
000000.1	PspC+LiaI-LiaF-TM+LiaI-LiaF-TM+TM+Toast-rack	5
000000.1	SIG+EP1+EP1	5
000000.1	TM+TM+TM+Toast-rack	5
000011.5	TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM	5
000012.5	Cluster12_1clades	5
000013.5	DUF1707-SHOCT-bihelical+Toast-rack	5
000014.5	DUF1707-SHOCT-bihelical+TM	5
000024.5	PspC+PspC+LiaI-LiaF-TM+Toast-Rack	5
000025.5	SIG+TM+TM+TM+TM+TM+TM+AMIN	5
000026.5	SIG+TM+TM+Toast-rack	5
000027.5	PspC+LiaI-LiaF-TM	5
000029.5	DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack	5
000030.5	DUF1700-alpha-helical+TM+TM+TM+TM+TM	5
000031.5	DUF1700-alpha-helical+Toast-rack	5
000032.5	DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM	5
000033.5	DUF1700-alpha-helical+LiaI-LiaF-TM	5
000034.5	DUF1700-alpha-helical+Toast-rack	5
000035.5	DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM	5
000036.5	DUF1700-alpha-helical+TM+TM+TM+TM	5
000037.5	DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM	5
000038.5	DUF1700-alpha-helical+TM+TM+TM	5
000039.5	DUF1700-alpha-helical+TM+TM+TM	5
000040.5	DUF1700-alpha-helical+TM+TM+TM+TM	5
000041.5	DUF1700-alpha-helical+TM+TM	5
000041.5	PspC+TM+TM+TM+TM	5
000042.5	DUF1700-alpha-helical+TM+TM+TM+TM+TM	5
000042.5	PspC+PspC+LiaI-LiaF-TM+Toast-rack	5
000043.5	DUF1700-alpha-helical+TM+TM+TM+TM	5
000043.5	PspC+TM+TM+TM+Toast-rack	5
000044.5	DUF1700-alpha-helical+TM+TM+TM+TM	5
000044.5	PspC+TM+TM+TM+TM+Toast-rack	5
000045.5	PspC+LiaI-LiaF-TM+TM	5
000066.5	SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+EP1	5
000067.5	TBC+PspA	5
000068.5	EP1	5
000069.5	SPX	5
000070.5	Ferredoxin-RRM+PspA	5
000071.5	SbcC+Snf7+SbcC	5
000072.5	SIG+Peptidase-S8	5
000073.5	SIG+EP1+PTSEIIA1	5
000074.5	SIG+PspA	5
000103.8	PspC+LiaI-LiaF-TM+Toast-rack	5
000160.5	TM+TM+TM+TM+LiaI-LiaF-TM+TM+Toast-rack	5
000161.5	SIG+Toast-rack	5
000162.5	SIG+Toast-rack	5
000163.5	PspC+TM+TM+TM+TM+Toast-rack	5
000164.5	SIG+Toast-rack	5
000165.5	DUF1700-alpha-helical+Toast-rack	5
000166.5	SIG+Toast-rack	5
000167.5	SIG+Toast-rack	5
000168.5	DUF1700-alpha-helical+Toast-rack	5
000169.5	SIG+Toast-rack	5
000170.5	SIG+Toast-rack	5
000171.5	LiaI-LiaF-TM+Toast-rack	5
000172.5	SIG+Toast-rack	5
000173.5	SIG+Toast-rack	5
000174.5	SIG+Toast-rack	5
000175.5	LiaI-LiaF-TM+Toast-rack	5
000176.5	SIG+Toast-rack	5
000177.5	SIG+Toast-rack	5
000178.5	SIG+Toast-rack	5
000179.5	SIG+Toast-rack	5
000180.5	SIG+Toast-rack	5
000181.5	SIG+Toast-rack	5
000182.5	SIG+Toast-rack	5
000183.5	SIG+Toast-rack	5
000184.5	Toast-rack	5
000185.5	SIG+Toast-rack	5
000186.5	SIG+Toast-rack	5
000187.5	SIG+Toast-rack	5
000188.5	SIG+TM+TM+Toast-rack	5
000189.5	SIG+Toast-rack	5
000190.5	Toast-rack	5
000191.5	SIG+TM+TM+Toast-rack	5
000192.5	SIG+TM+TM+Toast-rack	5
000193.5	SIG+Toast-rack	5
000194.5	DUF1707-SHOCT-bihelical+Toast-rack	5
000195.5	Toast-rack	5
000000.1	CR-Kinase+EP1	4
000000.1	DUF1700-alpha-helical+TM+TM+TM+TM+TM	4
000015.4	DUF1707-SHOCT-bihelical+Toast-rack	4
000016.4	DUF1707-SHOCT-bihelical+TM+TM	4
000028.4	LiaI-LiaF-TM+Toast-rack+EP1	4
000029.4	SIG+TM+TM+TM+TM	4
000030.4	DUF1700-alpha-helical+PspC+LiaI-LiaF-TM	4
000031.4	LiaI-LiaF-TM+Toast-rack	4
000032.4	LiaI-LiaF-TM+Toast-rack	4
000033.4	LiaI-LiaF-TM	4
000045.4	DUF1700-alpha-helical+Ferredoxin-RRM+Ferredoxin-RRM	4
000046.19	DUF1700-alpha-helical+PspC+PspC+LiaI-LiaF-TM+Toast-Rack+Toast-rack	4
000046.4	SIG+DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM+TM	4
000046.4	SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM	4
000047.4	DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM	4
000047.4	PspC+TM+TM+TM+TM+TM	4
000048.4	DUF1700-alpha-helical	4
000048.4	PspC+TM+TM+TM+Toast-rack	4
000049.4	DUF1700-alpha-helical+PspC+TM+TM+TM+Toast-rack	4
000049.4	SIG+DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM	4
000050.4	PspC+TM+TM+TM+TM+Toast-rack	4
000050.4	SIG+DUF1700-alpha-helical+TM+TM+TM	4
000051.4	DUF1700-alpha-helical+PspC+LiaI-LiaF-TM	4
000051.4	DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM	4
000052.4	DUF1700-alpha-helical+TM+TM+TM+TM	4
000052.4	SIG+TM	4
000053.4	TM+TM+PspC	4
000075.4	EP1	4
000076.4	EP1+EP1	4
000077.4	SIG+TM+EP1+HISKIN+REC+REC+REC	4
000078.4	PspA+TM+TM	4
000079.4	SbcC+PspA+PspA	4
000080.4	FN3+SIGMA-HTH	4
000081.4	SIG+EP1+RING	4
000082.4	SIG+IG+TM+PspA	4
000083.4	SIG+Snf7	4
000084.4	SIG+PspA+TM	4
000085.4	PspA	4
000086.4	PspA	4
000087.4	Snf7	4
000088.4	Snf7	4
000089.4	Snf7	4
000090.4	Snf7	4
000091.4	Snf7	4
000092.4	PspA	4
000093.4	Snf7	4
000196.4	SIG+Beta-Roll+Toast-rack+TM+TM+7TMEUK	4
000197.4	SIG+TM+TM+TM+TM+TM+TM+TM+TM+Toast-rack	4
000200.4	TM+Toast-rack	4
000201.4	SIG+Toast-rack	4
000202.4	Toast-rack+TM	4
000203.4	LiaI-LiaF-TM+Toast-rack	4
000204.4	Toast-rack+TM	4
000205.4	Toast-rack	4
000206.4	Toast-rack	4
000207.4	SIG+Toast-rack	4
000208.4	Toast-rack	4
000209.4	SIG+Toast-rack	4
000210.4	Toast-rack	4
000211.4	SIG+Toast-rack+Toast-rack	4
000212.4	SIG+Toast-rack	4
000213.4	SIG+Toast-rack	4
000214.4	SIG+Toast-rack	4
000215.4	LiaI-LiaF-TM+Toast-rack	4
000216.4	SIG+Toast-rack	4
000217.4	SIG+Toast-rack	4
000218.4	LiaI-LiaF-TM+Toast-rack	4
000219.4	SIG+Toast-rack	4
000220.4	SIG+Toast-rack	4
000221.4	SIG+Toast-rack	4
000222.4	Toast-rack	4
000223.4	SIG+LPD29+Toast-rack	4
000224.4	LiaI-LiaF-TM+Toast-rack	4
000225.4	SIG+Toast-rack	4
000226.4	Toast-rack	4
000227.4	SIG+Toast-rack	4
000228.4	SIG+Toast-rack	4
000229.4	SIG+Toast-rack	4
