Species	Lineage.final	Lineage.final.old	Domain
Aureococcus anophagefferens	eukaryota>sar>stramenopiles	eukaryota>sar>stramenopiles	eukaryota
Blastocystis hominis	eukaryota>sar>stramenopiles	eukaryota>sar>stramenopiles	eukaryota
Blastocystis sp subtype 4	eukaryota>sar>stramenopiles	eukaryota>sar>stramenopiles	eukaryota
Ectocarpus siliculosus	eukaryota>sar>stramenopiles	eukaryota>sar>stramenopiles	eukaryota
Fragilariopsis cylindrus CCMP1102	eukaryota>sar>stramenopiles	eukaryota>sar>stramenopiles	eukaryota
Nannochloropsis gaditana	eukaryota>sar>stramenopiles	eukaryota>sar>stramenopiles	eukaryota
Phaeodactylum tricornutum CCAP 10551	eukaryota>sar>stramenopiles	eukaryota>sar>stramenopiles	eukaryota
Phytophthora infestans T304	eukaryota>sar>stramenopiles	eukaryota>sar>stramenopiles	eukaryota
Phytophthora parasitica INRA310	eukaryota>sar>stramenopiles	eukaryota>sar>stramenopiles	eukaryota
Phytophthora sojae	eukaryota>sar>stramenopiles	eukaryota>sar>stramenopiles	eukaryota
Saprolegnia diclina VS20	eukaryota>sar>stramenopiles	eukaryota>sar>stramenopiles	eukaryota
Saprolegnia parasitica CBS 22365	eukaryota>sar>stramenopiles	eukaryota>sar>stramenopiles	eukaryota
Thalassiosira oceanica	eukaryota>sar>stramenopiles	eukaryota>sar>stramenopiles	eukaryota
Thalassiosira pseudonana CCMP1335	eukaryota>sar>stramenopiles	eukaryota>sar>stramenopiles	eukaryota
Arabidopsis thaliana	eukaryota>archaeplastida>viridiplantae	eukaryota>archaeplastida>viridiplantae	eukaryota
Glycine max	eukaryota>archaeplastida>viridiplantae	eukaryota>archaeplastida>viridiplantae	eukaryota
Klebsormidium flaccidum	eukaryota>archaeplastida>viridiplantae	eukaryota>archaeplastida>viridiplantae	eukaryota
Nicotiana tabacum	eukaryota>archaeplastida>viridiplantae	eukaryota>archaeplastida>viridiplantae	eukaryota
Physcomitrella patens	eukaryota>archaeplastida>viridiplantae	eukaryota>archaeplastida>viridiplantae	eukaryota
Selaginella moellendorffii	eukaryota>archaeplastida>viridiplantae	eukaryota>archaeplastida>viridiplantae	eukaryota
Solanum tuberosum	eukaryota>archaeplastida>viridiplantae	eukaryota>archaeplastida>viridiplantae	eukaryota
Vitis vinifera	eukaryota>archaeplastida>viridiplantae	eukaryota>archaeplastida>viridiplantae	eukaryota
Zea mays	eukaryota>archaeplastida>viridiplantae	eukaryota>archaeplastida>viridiplantae	eukaryota
Auxenochlorella protothecoides	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota
Chlamydomonas reinhardtii	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota
Chlorella variabilis	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota
Coccomyxa subellipsoidea C169	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota
Micromonas commoda	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota
Micromonas pusilla CCMP1545	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota>archaeplastida>viridiplantae>chlorophyta	eukaryota
