GenContext.orig	n
TM->SIG+TM->SIG+TM+TM+TM->SIG+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->	3
TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH-><-DICT<-Cluster40_2clades	3
TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH-><-DICT<-Cluster40_2clades<-SIG+SAF	3
TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->SIGMA-HTH->SIG+TM+TM->TM+OmpA->	3
TM+TM+TM+TM+TM+TM+TM->PspC*-><-?<-?<-HxxxH	3
Toast-rack*->RHH_1->ParE_toxin->	3
Toast-rack*->SIG+Toast-rack*->	3
Usp-><-Cluster13_7clades<-PspA*	3
<-?*<-?*	2
<-35exo<-?<-SIGMA-HTH<-?<-?||TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM-><-PspC+LiaI-LiaF-TM*	2
<-7TMR-HDED<-7TMR-HDED<-PspC+LiaI-LiaF-TM*<-PspC*<-?<-?<-SIGMA-HTH	2
<-A18||PspC+LiaI-LiaF-TM*->	2
<-A18<-?<-SGS<-?<-ABC-ATPase<-PspC+TM+TM+TM+Toast-rack*<-PADR-HTH	2
<-ABC-ATPase+ABC-ATPase||?->?-><-REC<-SIG+TM+TM+TM<-LiaI-LiaF-TM+Toast-rack*<-?<-?||SIG+TM+TM+TM->	2
<-ABC-ATPase<-?||?-><-SIG+Toast-rack<-DUF1700-alpha-helical+TM+TM+TM+TM+TM*<-PADR-HTH	2
<-ABC-ATPase<-?<-?<-?<-?<-?<-?<-SIG+Toast-rack*	2
<-ABC-ATPase<-?<-?<-?<-PspB*<-PspA||NtrC-AAA+FIS-HTH->	2
<-ABC-ATPase<-?<-DUF1707-SHOCT-bihelical+Toast-rack*<-SIG+Beta-lactamase||?-><-AHSA1<-HTH_20	2
<-ABC-ATPase<-adh_short||Toast-rack*-><-adh_short||SIG+TM+TM+TM+TM+TM->ABC-ATPase->	2
<-Acyl-CoA_dh_M+Acyl-CoA_dh_1<-SpermGS-ATPgrasp<-SIG+DUF1190<-SIG+TM+TM+TM<-DUF2491<-PspA*<-DUF2170	2
<-Acyl-CoA_dh_N+Acyl-CoA_dh_M+Acyl-CoA_dh_1||?-><-?<-SIG+Toast-rack*	2
<-Acyl-CoA_dh_N+Acyl-CoA_dh_M+Acyl-CoA_dh_1||?-><-?<-SIG+Toast-rack*<-CarD_CdnL_TRCF	2
<-ADH_N+ADH_zinc_N<-?||?-><-?<-?||SIG+TM+HISKIN-LiaS-like->REC+LYTTR->SIG+Toast-rack*->?->?-><-Sugar_tr	2
<-B3_4<-?<-tRNA<-LiaI-LiaF-TM+Toast-rack*	2
<-BACTERIALFRINGE+TM+TM<-?<-?<-?<-REC+LYTTR<-SIG+TM+HISKIN-LiaS-like<-SIG+TM+TM+Toast-rack*<-GreA_GreB_N+GreA_GreB<-SIG+YceG	2
<-CheC<-CheW<-HPT+HISKIN+CheW<-REC<-PilZ<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-?<-REC<-CheC	2
<-CheD<-CheC<-CheW<-HPT+HISKIN+CheW<-REC<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*	2
<-Classical-AAA<-Snf7*	2
<-Cluster115_5clades<-?||CheC->?->SIG+TM->CheC->?->SIG+TM+TM+TM+TM+TM*->?->IONCHANNEL->	2
<-Cluster120_5clades<-?<-?<-?<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM	2
<-Cluster133_3clades<-?<-SIG+TM<-ZetaToxin<-Cluster168_2clades<-?||TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->Cluster39_2clades->Cluster24_2clades->SIG+TM+TM+TM->SIG+TM->?->FHA->	2
<-Cluster192_2clades<-?||?->PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-Rack*->	2
<-Cluster193_3clades<-Cluster193_3clades||SIG+TM+TM+TM+TM+TM+TM+TM+TM-><-PspC*	2
<-Cluster293_2clades<-?<-Cluster81_2clades<-?<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM<-?<-PspC*<-?<-SIG+RHOD-CDC25	2
<-Cluster320_2clades<-PspC*	2
<-Cluster37_3clades<-pPIWI<-?<-?<-SIG+TM+TM+TM<-PspC*<-?<-ABC-ATPase<-ABC-ATPase	2
<-Cluster372_2clades||PspC*->	2
<-Cluster67_6clades<-SIG+TM+TM+TM<-PspA*	2
<-Cluster8_2clades<-?<-DUF1707-SHOCT-bihelical+Toast-rack*	2
<-Cluster81_2clades<-?<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM<-?<-PspC*	2
<-CR-Kinase+EP1*	2
<-CTP_synth_N+GATase<-Cluster79_2clades||PspA*->	2
<-Cytidylate_kin<-?||?->SIGMA-HTH->?->SIG+Toast-rack*->SIG+Toast-rack*->	2
<-DnaB+DnaB_C<-SIG+Toast-rack*<-?<-SIGMA-HTH	2
<-DOUBLECORTIN<-GT<-Cluster112_5clades<-TM<-SIG+SAF<-SIG+BetaPropeller<-SIG+BetaPropeller<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-TPR+TPR	2
<-DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-Rack*<-PADR-HTH<-?||?->Cluster192_2clades->	2
<-DUF1700-alpha-helical+PspC+PspC+LiaI-LiaF-TM+Toast-rack*<-PADR-HTH	2
<-DUF1700-alpha-helical+TM*	2
<-DUF1700-alpha-helical+TM*<-PADR-HTH	2
<-DUF1700-alpha-helical+TM+TM+TM+TM*	2
<-DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*<-DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*<-PADR-HTH||Cluster20_3clades->	2
<-DUF1700-alpha-helical+Toast-rack*	2
<-DUF1707-SHOCT-bihelical+TM*<-DUF1707-SHOCT-bihelical+DUF1707-SHOCT-bihelical+TM*	2
<-DUF1707-SHOCT-bihelical+TM*<-DUF1707-SHOCT-bihelical+TM+TM*	2
<-DUF1707-SHOCT-bihelical+Toast-rack*<-?||?-><-?<-REC+LYTTR<-SIG+TM+HISKIN-LiaS-like<-SIG+TM+TM+TM+TM+TM+TM	2
<-DUF1707-SHOCT-bihelical+Toast-rack*<-?<-NRDD	2
<-DUF1707-SHOCT-bihelical+Toast-rack*<-REC+LYTTR<-SIG+TM+HISKIN-LiaS-like	2
<-DUF1707-SHOCT-bihelical+Toast-rack*<-REC+LYTTR<-SIG+TM+HISKIN-LiaS-like<-SIG+TM+TM+TM+TM+TM<-ABC-ATPase	2
<-DUF3046*<-?||?->?-><-DUF3046*<-Cluster4_1clades*	2
<-DUF520<-Toast-rack*<-?<-ChlI+Mg_chelatase+Mg_chelatase_C	2
<-DUF572+EP1+MATH+MATH*	2
<-DUF59+ParA<-?<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-SIG+Toast-rack*<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-MacB_PCD+FtsX+TM+MacB_PCD+FtsX<-SIG+Toast-rack*<-ABC-ATPase<-?||REC+NtrC-AAA+FIS-HTH->SIG+TM+HISKIN->	2
<-ENDO3<-?<-?<-?<-Ferredoxin-RRM+PspA*	2
<-EP1+EP1*<-EP1+EP1*<-EP1+EP1*<-EP1+EP1*	2
<-EP1+EP1+EP1+MA*	2
<-EP1+PspA*	2
<-EP1+SAM+SAM+SAM*<-EP1+SAM+SAM+SAM*	2
<-Ferredoxin-RRM+PspA*	2
<-FMO-like||?-><-?<-PspA*	2
<-GIDA+GIDA_assoc<-UPF0054<-SIG+TM+TM+EP1*	2
<-GNTR-HTH<-?<-SIG+Toast-rack*<-ABC-ATPase	2
<-GST_N+GST_C<-DUF1707-SHOCT-bihelical+Toast-rack*	2
<-HhH-GPD<-Pirin+Pirin_C<-SIG+Toast-rack*	2
<-HISKIN<-HD<-HD<-SIGMA-HTH<-?<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-Cluster617_2clades<-CheC<-CheC	2
<-HMA+TM+TM+TM+TM+TM+TM+TM+TM<-?||PspC->?->LiaI-LiaF-TM+Toast-rack*->	2
<-HMA+TM+TM+TM+TM+TM+TM+TM+TM<-?<-SIG+TM+TM+TM+TM+FTSK+FTSK-HTH<-PspC*	2
<-HU-IHF<-PspA*<-Cluster41_7clades	2
<-IONCHANNEL<-DOUBLECORTIN<-Cluster115_5clades||SIG+SAF->Cluster40_2clades->DICT-><-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM	2
<-KELCH+TIG+RuvB-AAA+DYN-MID-AAA+Snf7*	2
<-LiaI-LiaF-TM*<-?<-?<-?<-ABC-ATPase	2
<-LiaI-LiaF-TM*<-?<-?<-?<-ABC-ATPase<-?<-?<-Cluster253_2clades	2
<-LiaI-LiaF-TM+TM+Toast-rack*	2
<-LiaI-LiaF-TM+TM+Toast-rack*<-?<-CTP_transf_like	2
<-LiaI-LiaF-TM+Toast-rack*<-LiaI-LiaF-TM+Toast-rack*<-PspC+TM+TM	2
<-LiaI-LiaF-TM+Toast-rack*<-PspC	2
<-LiaI-LiaF-TM<-PspC+TM+TM+TM+TM+TM+Toast-rack*	2
<-MFS_1+TM+TM<-SIG+Toast-rack*	2
<-MODE-HTH+PBPII||EamA+EamA->?-><-?<-REC+LYTTR<-PspC+LiaI-LiaF-TM+TM+TM+HISKIN-LiaS-like||PspC+TM+TM+TM+TM+TM+Toast-rack*->	2
<-MODE-HTH+PBPII||SIG+TM+TM+TM+TM+TM+TM+TM+TM->?-><-?<-REC+LuxR-HTH<-PspC+TM+TM+TM+TM+HISKIN*||PspC+TM+TM+TM+TM+TM+Toast-rack*->	2
<-MODE-HTH+PBPII||SIG+TM+TM+TM+TM+TM+TM+TM+TM-><-REC+LuxR-HTH<-PspC+TM+TM+TM+TM+HISKIN*	2
<-MuB-ATPase<-?<-?<-DUF1700-alpha-helical+TM+TM+TM+TM*<-DUF1700-alpha-helical+TM+TM+TM+TM*<-DUF1700-alpha-helical+TM+TM+TM+TM*<-PADR-HTH||?->?->SIG+TM+TM+TM+TM+TM+ABC-ATPase->SIG+TM+TM+TM+TM+TM+ABC-ATPase->	2
<-NACHT<-Cluster49_2clades<-SIG+TM+TM+TM+TM+TM*	2
<-NifX<-NifX<-BZIP*	2
<-NtrC-AAA+FIS-HTH||PspA->?->SIG+Toast-rack->SIG+Toast-rack*->SIG+TM+TM+TM+TM+TM->ABC-ATPase->	2
<-NtrC-AAA+FIS-HTH||SbcC+PspA+SbcC*->?->GTPase-AIG->	2
<-NtrC-AAA+FIS-HTH<-?<-?<-?<-PspC<-PspB*<-PspA||NtrC-AAA+FIS-HTH->	2
<-NtrC-AAA+FIS-HTH<-TM+TM+IIGP1<-CR-ATPase1<-Phageshock_PspD<-PspC*<-PspB<-PspA	2
<-NtrC-AAA+FIS-HTH<-TM+TM+IIGP1<-CR-ATPase1<-Phageshock_PspD<-PspC*<-PspB<-PspA||NtrC-AAA+FIS-HTH->	2
<-OMPdecase||Toast-rack*->SIG+Toast-rack*->	2
<-p450||?-><-?||?->AA_permease_2-><-?||Lyase_1+ADSL_C->DUF1707-SHOCT-bihelical+Toast-rack*->	2
<-ParA-Soj-PloopNTPase<-?||Snf7*->	2
<-ParA-Soj-PloopNTPase<-SIG+APATPase<-?<-?<-?<-?<-?||SIG+TM+TM+TM+TM+TM*->	2
<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-SIG+NtrC-AAA+FIS-HTH<-CheC<-CheC<-SIG+TM<-?||?->PSYN->	2
<-Peptidase_M24||?-><-?||?->?-><-DUF1707-SHOCT-bihelical+Toast-rack*	2
<-Phage_holin_4_2<-AMP_N+Peptidase_M24<-?<-?||?-><-?<-LiaI-LiaF-TM+Toast-rack*<-?<-?<-?||SIG+TM+TM+TM+ABC-ATPase->	2
<-Phage_holin_4_2<-PspC+TM+TM<-Toast-rack*<-?<-ABC-ATPase<-ABC-ATPase<-?<-?<-SIG+PBP_like_2	2
<-PhospholipaseD<-GspA-ATPase<-SIG+TM<-SIG+TM+TM<-PspA*<-DUF2170	2
<-PspA*||?-><-PspA*	2
<-PspA*||ADH_N+ADH_zinc_N-><-Thioredoxin	2
<-PspA*||Cluster79_2clades->	2
<-PspA*<-?<-sf+TM||?-><-?<-?||SAM-methylase->	2
<-PspA*<-PspA	2
<-PspA*<-SIG+TM+TM	2
<-PspA*<-SIGMA-HTH	2
<-PspB*<-TM+PspB*<-PspB*<-PspC<-PspB*<-PspA<-?||NtrC-AAA+FIS-HTH->	2
<-PspB+PspC*	2
<-PspC*||?->?->EMAP->	2
<-PspC*||Cluster81_2clades->	2
<-PspC*||ncRNA-><-SIG+TM+TM+TM+TM+TM+TM<-?<-?<-?<-ABC-ATPase	2
<-PspC*<-?||?-><-Cluster531_2clades||Cluster688_2clades->	2
<-PspC*<-?||QTG-><-?<-?<-HMA+TM+TM+TM+TM+TM+TM+TM+TM<-?||HhH-RADC+JAB->	2
<-PspC*<-?<-?||?-><-DEAM	2
<-PspC*<-?<-?<-?<-sf+TM+TM||TM->	2
<-PspC*<-?<-?<-Cluster144_2clades<-SIGMA-HTH<-CHC2+Toprim-DNAG	2
<-PspC*<-?<-?<-Cluster144_2clades<-SIGMA-HTH<-CHC2+Toprim-DNAG<-ABC-ATPase	2
<-PspC*<-?<-?<-sf+TM+TM<-NUDIX	2
<-PspC*<-?<-ComEA-HHH+S1||?->SIG+TM+TM+TM+TM+TM+TM->	2
<-PspC*<-?<-PspC+TM+TM+TM+TM+TM+Toast-rack*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH-><-Cluster115_3clades	2
<-PspC*<-Cluster85_4clades	2
<-PspC*<-REC+LuxR-HTH	2
<-PspC*<-SIG+TM+TM+TM+TM+TM+TM<-?<-SIG+TM+TM+TM	2
<-PspC*<-Toast-rack<-?<-ComEA-HHH+S1	2
<-PspC*<-Toast-rack<-PADR-HTH	2
<-PspC+LiaI-LiaF-TM+Toast-Rack*<-SIG+PADR-HTH	2
<-PspC+TM+TM+TM+TM+TM+Toast-rack*||?->PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->	2
<-PspC+TM+TM+TM+TM+TM+Toast-rack*||PspC+LiaI-LiaF-TM+TM+TM+HISKIN-LiaS-like->REC+LYTTR->BCCT->AAA_28->	2
<-PspC+TM+TM+TM+TM+TM+Toast-rack*<-SIG+PADR-HTH	2
<-PspC+TM+TM+TM+TM+Toast-rack*||PspC+LiaI-LiaF-TM+TM+TM+HISKIN-LiaS-like->REC+LYTTR->	2
<-PspC+TM+TM+TM+TM+Toast-rack*||PspC+TM+TM+TM+TM+HISKIN*->	2
<-PspC+TM+TM+TM+Toast-rack*<-PADR-HTH	2
<-PspC+TM+TM+Toast-rack*||PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH-><-?||?->?-><-?||?-><-TM+TM+TM+TM+TM	2
<-PspC+TM+TM<-LiaI-LiaF-TM<-PspC+TM+TM+TM+TM+TM+Toast-rack*||PspC+LiaI-LiaF-TM+TM+TM+HISKIN-LiaS-like->REC+LYTTR-><-SIG+Aminotran_1_2	2
<-PspC+TM+TM<-Toast-rack*<-SIG+PADR-HTH	2
<-PspC<-PspB<-PspA*||NtrC-AAA+FIS-HTH->SIG+SBP_bac_5->?->SIG+TM+TM+TM+TM+TM->ABC-ATPase->ABC-ATPase->	2
<-RADICAL-SAM||?->?-><-?<-SIG+TM+TM+Toast-rack<-PspC+LiaI-LiaF-TM*<-PspC*	2
<-Radical_SAM||OsmC->?-><-?<-SIG+TM+Toast-rack*<-PspC+TM+TM<-PspC+TM+TM	2
<-REC+LuxR-HTH<-?||ACET-><-?||?-><-?<-SIGMA-HTH<-DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*<-PADR-HTH	2
<-REC+LuxR-HTH<-PspC+TM+TM+TM+TM+HISKIN*||PspC+TM+TM+TM+TM*->?-><-?<-SIG+TM+TM+TM+TM+ABC-ATPase<-SIG+TM+TM+TM+TM+ABC-ATPase	2
<-REC+LuxR-HTH<-PspC+TM+TM+TM+TM+HISKIN*||PspC+TM+TM+TM+TM+Toast-rack*->?->?-><-?<-?<-?||PspC*-><-ABhydrolase	2
<-REC+LuxR-HTH<-PspC+TM+TM+TM+TM+HISKIN*||PspC+TM+TM+TM+TM+Toast-rack*->?-><-?<-ABhydrolase	2
<-REC+LuxR-HTH<-PspC+TM+TM+TM+TM+HISKIN*||PspC+TM+TM+Toast-rack*->?->ABC-ATPase->SIG+TM+TM+TM->	2
<-REC+LuxR-HTH<-PspC+TM+TM+TM+TM+HISKIN*||PspC+TM+TM+Toast-rack*-><-?<-ABhydrolase	2
<-REC+LuxR-HTH<-PspC+TM+TM+TM+TM+HISKIN*||SIG+PspC+TM*->	2
<-REC+LYTTR<-PspC+LiaI-LiaF-TM+TM+TM+HISKIN-LiaS-like||PspC+TM+TM+Toast-rack*-><-Imm68	2
<-REC+LYTTR<-SIG+TM+HISKIN-LiaS-like||ABC-ATPase->?-><-SIG+TM+TM+TM+TM+TM<-ABC-ATPase<-Toast-rack*<-TraJ-RHH	2
<-REC+LYTTR<-SIG+TM+HISKIN-LiaS-like<-LiaI-LiaF-TM+Toast-rack*<-PspA<-LiaI-LiaF-TM	2
<-REC+LYTTR<-SIG+TM+HISKIN-LiaS-like<-SIG+Toast-rack*	2
<-REC+LYTTR<-SIG+TM+TM+TM+HISKIN<-LiaI-LiaF-TM+Toast-rack*<-IspD<-?||MacB_PCD+FtsX->	2
<-REC+OmpR-HTH<-DUF1700-alpha-helical+TM+TM+TM+TM*	2
<-REC<-?<-?<-?<-SIG+TM*	2
<-REC<-SIG+CHASE3+TM+SHELIX+HISKIN||?-><-SIG+TM+TM+TM+TM+TM*<-?<-SIG+NtrC-AAA+FIS-HTH<-CheC<-?<-CheC<-SIG+TM	2
<-REC<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-?<-CheC<-CheC	2
<-RING+EP1+CR-Kinase*	2
<-RNase_PH+RNase_PH_C||?-><-MODE-HTH+PBPII||ADH_N+ADH_zinc_N->?-><-SIG+Toast-rack*	2
<-SbcC+PspA*	2
<-SbcC+SbcC+ABC-ATPase+SbcC<-RNA-Helicase+A18<-Cluster215_2clades<-?<-?<-SIG+TM+TM+TM<-PspC*<-SIG+HAMP+HISKIN<-REC+LuxR-HTH	2
<-SFII-RAD3<-REC<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*	2
<-SIG+Asparaginase_2||?-><-SpermGS-ATPgrasp<-PspA*<-DUF2170	2
<-SIG+Bactofilin+TM+TM+TM+TM+TM<-SIG+Toast-rack*	2
<-SIG+Beta-lactamase<-SIG+Toast-rack*<-SIG+OmpA-beta-barrel<-MTHFR	2
<-SIG+BetaPropeller<-?<-?<-SIGMA-HTH<-PilZ<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*	2
<-SIG+BetaPropeller<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-?<-CheC	2
<-SIG+BetaPropeller<-SIG+BetaPropeller<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM	2
<-SIG+BetaPropeller<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*	2
<-SIG+BLBD<-?<-TetR_N<-REC+LYTTR<-LiaI-LiaF-TM+Toast-rack*	2
<-SIG+CR-Trypsin3+PDZ||?->PspA*->	2
<-SIG+DNA_binding_1<-?<-?<-SIG+Toast-rack*	2
<-SIG+DUF1190<-SIG+TM+TM+TM<-DUF2491||DUF2170->PspA*->SpermGS-ATPgrasp->	2
<-SIG+DUF3046*	2
<-SIG+EP1+EP1+EP1+EP1+EP1+EP1*	2
<-SIG+EP1+TM*	2
<-SIG+Fasciclin<-?||?->?->?->?->?->DUF1707-SHOCT-bihelical+Toast-rack*->Peptidase_M24->	2
<-SIG+LiaI-LiaF-TM*	2
<-SIG+MA+BRCT*	2
<-SIG+NtrC-AAA+FIS-HTH<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM+TM+TM*<-TPR<-?<-CR-REase10<-CR-ATPase7	2
<-SIG+Peptidase-S8*	2
<-SIG+PspC*	2
<-SIG+SIGMA-HTH+TM+TM+TM+TM+TM+TM+TM*<-ABC-ATPase	2
<-SIG+TM+bPH_2<-DUF1707-SHOCT-bihelical+Toast-rack*	2
<-SIG+TM+HISKIN-LiaS-like<-SIG+TM+Toast-rack*	2
<-SIG+TM+PspC*	2
<-SIG+TM+TM*||?-><-MORC	2
<-SIG+TM+TM+TM+TM+TM*||?->?->?->?->?->SIG+APATPase->ParA-Soj-PloopNTPase->	2
<-SIG+TM+TM+TM+TM+TM*<-?<-NACHT<-?<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-?<-DOUBLECORTIN	2
<-SIG+TM+TM+TM+TM+TM*<-CheC<-?<-CheC<-SIG+TM	2
<-SIG+TM+TM+TM+TM+TM*<-SIG+NtrC-AAA+FIS-HTH<-SIG+TM+TM	2
<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-?||?-><-Cluster294_3clades<-PSYN<-Cluster482_2clades<-SIG+IF2-HTH+sGTP	2
<-SIG+TM+TM+TM+TM+TM*<-TPR	2
<-SIG+TM+TM+TM+TM+TM+ABC-ATPase<-SIG+TM+TM+TM+TM+TM+ABC-ATPase<-?<-?||PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM*->DUF1700-alpha-helical+TM+TM+TM+TM*->DUF1700-alpha-helical+TM+TM+TM+TM*->?->?->MuB-ATPase->	2
<-SIG+TM+TM+TM+TM+TM+TM||?-><-?||ComEA-HHH+S1->?->PspC*->	2
<-SIG+TM+TM+TM+TM+TM+TM+Spermine_synth<-?<-?<-?<-?<-?<-?<-DUF1707-SHOCT-bihelical+Toast-rack*||?->RecR+Toprim_4->	2
<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM<-Toast-rack*<-SIG+TM+TM+TM<-HTH	2
<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+Toast-rack*	2
<-SIG+TM+TM+TM+TM+TM+TM+TM+TM<-?<-Cluster354_2clades<-?<-SIG+TM+TM+TM+TM+TM*<-?<-NACHT<-?<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-?<-DOUBLECORTIN	2
<-SIG+TM+TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM*<-SIG+TM<-IONCHANNEL	2
<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-Cluster103_2clades<-?<-TET-TPase<-NACHT<-SIG+TM+TM+TM+TM+TM*	2
<-SIG+TM+TM+TM+TM+TM<-SIG+TM<-SIG+TM+TM+TM<-Cluster63_2clades<-?<-NACHT<-FHA<-SIG+TM+TM+TM+TM+TM*	2
<-SIG+TM+TM+TM+TM+TM<-SIG+Toast-rack*<-YbjQ_1<-SIG+RhoN+RhoN+RNASEII+S1	2
<-SIG+TM+TM+TM+Toast-rack*	2
<-SIG+TM+TM+TM+Toast-rack*<-SIG+TM+TM+TM+Toast-rack*<-?<-?<-ABC-ATPase<-?<-REC+LYTTR	2
<-SIG+TM+TM+TM<-PspC*<-Toast-rack<-?<-ABC-ATPase<-ABC-ATPase	2
<-SIG+TM+TM+Toast-rack*<-?<-AIM24	2
<-SIG+TM+TM<-?<-PspA*<-Cluster41_7clades	2
<-SIG+TM+TM<-HPT+HISKIN+CheW<-SFII-RAD3<-REC<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM	2
<-SIG+TM+TM<-HPT+HISKIN+CheW<-SFII-RAD3<-REC<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM<-SIG+TM	2
<-SIG+TM<-PspC+TM+TM+TM+TM+Toast-rack*||PspC+LiaI-LiaF-TM+TM+TM+HISKIN-LiaS-like->REC+LYTTR->	2
<-SIG+TM<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM<-SFII-RAD3<-REC<-REC<-CheRN-Alpha+CheR-Methylase<-?<-SIG+TarH+TM+HAMP+MA	2
<-SIG+TM<-SIG+TM+TM+TM<-?<-?<-?<-NACHT<-Cluster49_2clades<-SIG+TM+TM+TM+TM+TM*<-PYRIN<-Cluster27_3clades<-AraC-HTH	2
<-SIG+TM<-SIG+TM+TM+TM<-Cluster24_2clades<-?<-Cluster59_2clades<-NACHT<-Cluster49_2clades<-SIG+TM+TM+TM+TM+TM*	2
<-SIG+TM<-SIG+TM+TM+TM<-Cluster24_2clades<-Cluster39_2clades<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM||Cluster168_2clades->ZetaToxin->SIG+TM->?->Cluster133_3clades->NACHT->	2
<-SIG+TM<-SIG+TM+TM<-PspA*<-Cluster41_7clades	2
<-SIG+TM<-SIGMA-HTH<-ParA-Soj-PloopNTPase<-SIG+APATPase<-SIG+TM+TM+TM+TM+TM*<-TM+TM+TM+TM	2
<-SIG+Toast-rack*||?->?-><-SIG+Toast-rack*	2
<-SIG+Toast-rack*<-?||?->?->?->?->ADH_N+ADH_zinc_N->	2
<-SIG+Toast-rack*<-?<-?<-PspA	2
<-SIG+Toast-rack*<-?<-SIGMA-HTH||?->?-><-?<-?||DUF45->	2
<-SIG+Toast-rack*<-?<-SIGMA-HTH<-Maf	2
<-SIG+Toast-rack*<-ATP-grasp<-AIRC	2
<-SIG+Toast-rack*<-BACTERIALFRINGE+TM+TM	2
<-SIG+Toast-rack*<-Dus	2
<-SIG+Toast-rack*<-EamA+EamA	2
<-SIG+Toast-rack*<-GTP_EFTU+GTP_EFTU_D2+RF3_C<-?<-?||Lactamase_B->	2
<-SIG+Toast-rack*<-Ham1p_like	2
<-SIG+Toast-rack*<-LiaI-LiaF-TM+Toast-rack*	2
<-SIG+Toast-rack*<-PspC+TM+TM	2
<-SIG+Toast-rack*<-SIG+Abhydrolase_3<-SIG+DHO_dh	2
<-SIG+Toast-rack*<-Toast-rack*	2
