GenContext.norep	n
Cluster59_2clades->DUF1707-SHOCT-bihelical+TM+TM+TM*->	2
Cluster594_2clades->PspC*->SIG+TM+TM+TM->	2
Cluster688_2clades->||<-Cluster531_2clades||?->||<-?<-PspC*	2
Cluster75_2clades->SbcC+PspA+SbcC*->SMC_ScpA->?->||<-?<-SIG+TM+TM+TM+TM+TM+TM+TM	2
Cluster79_2clades->||<-PspA*	2
Cluster81_2clades->||<-PspC*	2
Cluster95_4clades->PspC*->SIG+TM+TM+TM->?->?->pPIWI->Cluster37_3clades->	2
ComEA-HHH+S1->?->Toast-rack->PspC*->	2
COX1+TM->SIG+Toast-rack*->?->?->||<-Radical_SAM+BATS<-ThiG<-?<-?<-ThiC-associated+ThiC_Rad_SAM	2
CR-ATPase7->?->?->TPR->SIG+TM+TM+TM+TM+TM*->	2
CR-ATPase7->?->CR-REase10->?->TPR->SIG+TM+TM+TM+TM+TM*->	2
CR-ATPase7->CR-REase10->?->TPR->SIG+TM+TM+TM+TM+TM*->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+NtrC-AAA+FIS-HTH->	2
CR-ATPase7->SIG+TM+TM+TM+TM+TM*->	2
CTP_synth_N+GATase->?->?->Cluster79_2clades->||<-PspA*||?->DAGKIN->TM+TM+TM+TM->HxxxH->	2
CTP_synth_N+GATase->||<-PspA*||HxxxH->PELOTA->TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->HTH+PRTase->	2
CTP_transf_like->?->LiaI-LiaF-TM+TM+Toast-rack*->	2
DAGK_cat->||<-SIG+RhoN+RhoN+RNASEII+S1<-YbjQ_1<-SIG+Toast-rack*	2
DNA_alkylation->?->PspC+TM+TM->LiaI-LiaF-TM+Toast-rack*->	2
DOUBLECORTIN->?->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->?->NACHT->?->SIG+TM+TM+TM+TM+TM*->	2
DOUBLECORTIN->?->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->?->NACHT->?->SIG+TM+TM+TM+TM+TM*->?->Cluster354_2clades->?->SIG+TM+TM+TM+TM+TM+TM+TM+TM->	2
DOUBLECORTIN->CheC->SIG+TM->SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIGMA-HTH->SIG+BetaPropeller->SIG+BetaPropeller->CheC->CheD->	2
DUF1700-alpha-helical+TM+TM+TM->SIG+Toast-rack*->||<-HI0933_like	2
DUF1700-alpha-helical+TM+TM+TM+TM*->REC+OmpR-HTH->	2
DUF1700-alpha-helical+Toast-rack*->	2
DUF1707-SHOCT-bihelical+TM*->?->?->||<-?||?->||<-Cluster8_2clades	2
DUF1707-SHOCT-bihelical+TM+TM*->||<-?<-ABC-ATPase	2
DUF1707-SHOCT-bihelical+TM+TM*->DUF1707-SHOCT-bihelical+TM*->	2
DUF1707-SHOCT-bihelical+Toast-rack*->?->||<-?||?->||<-?<-?<-ABC-ATPase	2
DUF1707-SHOCT-bihelical+Toast-rack*->?->||<-Toast-rack*	2
DUF1707-SHOCT-bihelical+Toast-rack*->?->DnaJ+DnaJ_CXXCXGXG+DnaJ_C->	2
DUF1707-SHOCT-bihelical+Toast-rack*->||<-?||?->?->||<-?<-?||?->||<-?<-?<-?<-?<-?||?->||<-Toast-rack*	2
DUF1707-SHOCT-bihelical+Toast-rack*->||<-?||?->ABhydrolase->	2
DUF1707-SHOCT-bihelical+Toast-rack*->||<-HTH	2
DUF1707-SHOCT-bihelical+Toast-rack*->||<-SIG+Acyltransferase	2
DUF1707-SHOCT-bihelical+Toast-rack*->Cluster124_2clades->	2
DUF1707-SHOCT-bihelical+Toast-rack*->GST_N+GST_C->	2
DUF1707-SHOCT-bihelical+Toast-rack*->SIG+DeoC->Aldedh->	2
DUF1707-SHOCT-bihelical+Toast-rack*->SIG+TM+bPH_2->	2
DUF2089-HTH->Toast-rack*->	2
DUF2170->PspA*->?->DUF2491->SIG+TM+TM+TM->SIG+DUF1190->SpermGS-ATPgrasp->	2
DUF2170->PspA*->SIG+TM->PSE->SIG+TM+TM+TM->SIG+DUF1190->SpermGS-ATPgrasp->	2
DUF2170->PspA*->SpermGS-ATPgrasp->||<-?||SIG+Asparaginase_2->	2
DUF45->||<-?<-?||?->?->||<-SIGMA-HTH<-?<-SIG+Toast-rack*	2
DUF4870->?->?->SIG+PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-Rack->SIG+Toast-rack*->SIG+Toast-rack*->	2
DUF4870->SIG+PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-Rack->?->SIG+Toast-rack*->	2
DUF4870->SIG+PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-Rack*->?->SIG+Toast-rack*->	2
DUF572+EP1+MATH+MATH*->	2
Dus->SIG+Toast-rack*->	2
EamA+EamA->SIG+Toast-rack*->	2
EFHAND+EFHAND+EP1*->	2
EFHAND+SIGMA-HTH+SH3+SH3+SH3+SH3+PH+C2*->	2
EMAP->?->?->||<-PspC*	2
EP1+EP1*->EP1+EP1*->EP1+EP1*->EP1+EP1*->	2
EP1+EP1+EP1+MA*->EP1+EP1+EP1+MA*->EP1+EP1+EP1+MA*->EP1+EP1+EP1+MA*->EP1+EP1+EP1+MA*->EP1+EP1+EP1+MA*->EP1+EP1+EP1+MA*->	2
EP1+PspA*->	2
EP1+SAM+SAM+SAM*->EP1+SAM+SAM+SAM*->EP1+SAM+SAM+SAM*->	2
ETF+ETF_alpha->?->ETF->ETF+ETF_alpha->?->SIG+PADR-HTH->DUF1700-alpha-helical+TM+TM+TM->SIG+Toast-rack*->	2
EVE->||<-?||?->?->?->?->?->SIG+Toast-rack*->||<-CSD	2
Fapy_DNA_glyco+H2TH+zf-FPG_IleRS->?->?->?->RNHCP->PspC+LiaI-LiaF-TM->LiaI-LiaF-TM+Toast-rack*->	2
FERM+EP1*->	2
FERM+EP1*->FERM+EP1*->FERM+EP1*->	2
Ferredoxin-RRM+PspA*->?->?->?->ENDO3->	2
FHA+EP1*->	2
FHA+TM->?->TPR->SIG+TM+TM+TM+TM+TM*->||<-SIG+TM+TM+TM+TM+TM	2
FHA+TM->?->TPR->SIG+TM+TM+TM+TM+TM*->REC->TM->?->||<-SIG+TPR	2
FHA+TM->Cluster172_2clades->TPR->SIG+TM+TM+TM+TM+TM*->TM->Cluster154_3clades->||<-SIG+TPR||Cluster301_2clades->?->?->SIG+TM->	2
FMN_dh->PspA*->SIG+TM+TM->SIG+TM->||<-Calcineurin	2
FMO-like->?->PspA*->SIG+TM+TM->SIG+TM->||<-ENOYCOADEHYD<-Thiolase_N+Thiolase_C<-Acyl-CoA_dh_N+Acyl-CoA_dh_M+Acyl-CoA_dh_1	2
GatB_N+GatB_Yqey->||<-Cluster75_2clades<-SbcC+PspA+SbcC*<-SMC_ScpA<-TM+TM+S2P+TM+TM+TM+TM||?->?->||<-?||adh_short->	2
Glu-tRNAGln->Amidase->?->?->TM+TM+TM+TM+LiaI-LiaF-TM+TM+Toast-rack*->	2
GNTR-HTH->Classical-AAA->PspA*->?->?->?->?->ACPS->	2
GreA_GreB_N+GreA_GreB->?->?->||<-?<-?||?->LiaI-LiaF-TM->SIG+Toast-rack*->?->||<-SIG+TM+TM+TM+TM+TM<-ABC-ATPase	2
HAM->?->Cluster813_2clades->?->PspC+LiaI-LiaF-TM*->LiaI-LiaF-TM+Toast-rack->	2
Ham1p_like->CTP_transf_like->?->LiaI-LiaF-TM+TM+Toast-rack*->	2
Ham1p_like->SIG+Toast-rack*->	2
Ham1p_like->SIG+Toast-rack*->||<-?<-?<-ABC-ATPase	2
HhH-RADC+JAB->||<-?<-HMA+TM+TM+TM+TM+TM+TM+TM+TM<-?<-?||QTG->||<-?<-PspC*	2
HMA+TM+TM+TM+TM+TM+TM+TM+TM->Redoxin->?->ABC-ATPase->SIG+PspA+TM+TM+TM+TM+TM+TM+TM*->	2
HTH->||<-?<-SIG+Toast-rack*||Na_H_Exchanger+TrkA_N->	2
HTH->SIG+TM+TM+TM->Toast-rack*->SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->||<-Cob_adeno_trans	2
HTH->SIG+TM+TM+TM->Toast-rack*->TauE->	2
HTH_20->AHSA1->||<-?||SIG+Beta-lactamase->DUF1707-SHOCT-bihelical+Toast-rack*->?->ABC-ATPase->	2
InPase->?->?->||<-?<-?||?->PspC*->	2
IONCHANNEL->SIG+TM->?->SIG+TM+TM+TM+TM*->?->SIG+TM+TM+TM+TM+TM->	2
IONCHANNEL->SIG+TM->SIG+TM+TM+TM+TM+TM*->	2
Isochorismatase->ZNR+DUF2089-HTH->Toast-rack*->	2
KELCH+TIG+RuvB-AAA+DYN-MID-AAA+Snf7*->	2
Lactamase_B->||<-?<-?<-GTP_EFTU+GTP_EFTU_D2+RF3_C<-SIG+Toast-rack*	2
LiaI-LiaF-TM->PspA->?->LiaI-LiaF-TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->	2
LiaI-LiaF-TM->PspA->SIG+TM+TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->||<-SIG+TM+BPD_transp_1<-SIG+SBP_bac_11	2
LiaI-LiaF-TM*->LiaI-LiaF-TM+Toast-rack*->SIG+TM+TM+TM->REC->	2
LiaI-LiaF-TM+Toast-rack*->||<-SIG+TIMbarrel	2
LiaI-LiaF-TM+Toast-rack*->ABC-ATPase->	2
LiaI-LiaF-TM+Toast-rack*->REC+LYTTR->TetR_N->?->SIG+BLBD->	2
LiaI-LiaF-TM+Toast-rack*->SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->	2
LiaI-LiaF-TM+Toast-rack*->SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->?->||<-MTHFR	2
LRP-HTH->?->SIG+TM+TM+Toast-rack->PspC+LiaI-LiaF-TM*->	2
LYTB->?->?->?->||<-SIG+Toast-rack*||?->SIG+tRNA_U5-meth_tr->	2
MacB_PCD+FtsX->||<-?<-IspD<-LiaI-LiaF-TM+Toast-rack*<-SIG+TM+TM+TM+HISKIN<-REC+LYTTR	2
MacB_PCD+FtsX+TM+MacB_PCD+FtsX->SIG+Toast-rack*->	2
Maf->SIGMA-HTH->?->SIG+Toast-rack*->	2
MarR->?->?->||<-?||?->SIGMA-HTH->||<-?<-Toast-rack*	2
METHYLASE->PspC*->PspC+LiaI-LiaF-TM*->LiaI-LiaF-TM+Toast-rack->	2
Methyltransf_25->?->||<-?<-Radical_SAM||?->||<-TraJ-RHH<-Toast-rack*	2
MFS_1+TM->||<-?<-REC+LYTTR<-PspC+LiaI-LiaF-TM+TM+TM+HISKIN-LiaS-like||PspC+TM+TM+TM+TM+Toast-rack*->SIG+TM->	2
MODE-HTH+PBPII->||<-?<-?<-?||?->PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*->	2
MODE-HTH+PBPII->||<-?<-Cluster192_2clades<-?||?->PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-Rack*->	2
MORC->||<-?||SIG+TM+TM*->	2
MTHFR->SIG+OmpA-beta-barrel->SIG+Toast-rack*->||<-ABC-ATPase	2
MTHFR->SIG+OmpA-beta-barrel->SIG+Toast-rack*->SIG+Beta-lactamase->?->PDT->SIG+Aminotran_1_2->PDH->?->SIG+Toast-rack*->?->?->?->EPSP_synthase->	2
NACHT->Cluster133_3clades->?->SIG+TM->ZetaToxin->Cluster168_2clades->||<-TM+TM+TM+TM<-SIG+TM+TM+TM+TM+TM*<-Cluster39_2clades<-Cluster24_2clades<-SIG+TM+TM+TM<-SIG+TM	2
NRDD->?->DUF1707-SHOCT-bihelical+Toast-rack*->	2
Nre_N+Nre_C->TOPC->?->GatB_N+GatB_Yqey->||<-Cluster75_2clades<-SbcC+PspA+SbcC*<-SMC_ScpA	2
NtrC-AAA+FIS-HTH->||<-?||adh_short->?->PspA*->?->?->?->GDP_Man_Dehyd->||<-?<-?||ACT->	2
NtrC-AAA+FIS-HTH->||<-?<-PspA<-PspB*<-PspC<-PspB*<-TM+PspB*<-PspB*	2
NtrC-AAA+FIS-HTH->||<-PspA<-PspB*<-?<-?<-?<-ABC-ATPase	2
NtrC-AAA+FIS-HTH->||<-PspA<-PspB*<-PspC<-?<-?<-?<-NtrC-AAA+FIS-HTH	2
NtrC-AAA+FIS-HTH->||<-PspA<-PspB<-PspC*<-Phageshock_PspD<-CR-ATPase1<-TM+TM+IIGP1<-NtrC-AAA+FIS-HTH	2
NUDIX->sf+TM+TM->?->?->PspC*->	2
PADR-HTH->DUF1700-alpha-helical*->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack->	2
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->?->||<-?<-ABC-ATPase	2
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack->?->?->||<-Cluster160_2clades	2
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack->?->||<-?<-?<-?||?->SIG+TM+TM+TM+TM+TM+ABC-ATPase->	2
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack->||<-?<-REC+OmpR-HTH	2
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM*->SIG+Toast-rack->?->?->||<-?<-?<-REC+OmpR-HTH	2
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->?->?->?->?->REC+LuxR-HTH->ABC-ATPase->	2
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->SIGMA-HTH->?->||<-?||?->||<-ACET||?->REC+LuxR-HTH->	2
PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+Toast-rack*->	2
PADR-HTH->DUF1700-alpha-helical+Toast-rack*->DUF1700-alpha-helical+TM+TM+TM*->?->SIG+Toast-rack->	2
PADR-HTH->PspC+TM+TM+TM+Toast-rack*->	2
PADR-HTH->PspC+TM+TM+TM+Toast-rack*->?->ABC-ATPase->?->||<-?||SGS->?->A18->	2
PADR-HTH->PspC+TM+TM+TM+Toast-rack*->ABC-ATPase->?->SGS->?->A18->	2
PADR-HTH->Toast-rack->PspC*->||<-PELOTA<-?<-SbcC+SbcC<-?<-Cluster753_2clades	2
ParA-Soj-PloopNTPase->SIG+APATPase->?->?->?->?->?->||<-SIG+TM+TM+TM+TM+TM*	2
PAS+GGDEF+EAL->||<-?<-?||?->PADR-HTH->DUF1700-alpha-helical+Toast-rack*->?->||<-SIG+TM+TM+TM+TM+TM+ABC-ATPase	2
Penicillinase_R->SIG+Toast-rack*->	2
Peptidase_M20->?->||<-?||SIG+PADR-HTH->?->DUF1700-alpha-helical+TM+TM+TM->SIG+Toast-rack*->	2
Peptidase_M24->?->||<-?||?->Aldo_ket_red->?->?->Toast-rack*->	2
Peptidase_M24->?->SIG+TM+TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->	2
PINT+DUF572*->	2
PspA->?->?->SIG+Toast-rack*->	2
PspA->PspA*->	2
PspA->PspB->PspC*->?->?->?->?->?->?->Cluster39_2clades->	2
PspA->PspB->PspC*->?->?->?->Cluster39_2clades->	2
PspA->PspB->PspC*->?->?->?->Cluster39_2clades->?->||<-Cluster278_2clades	2
PspA->PspB->PspC*->?->?->Cluster39_2clades->?->||<-Cluster278_2clades	2
PspA->PspB->PspC*->?->Cluster39_2clades->?->||<-?<-ncRNA<-MuB-ATPase<-RADICAL-SAM+TRAM	2
PspA->PspB->PspC*->Cluster131_2clades->||<-STAT<-SIG+PhospholipaseD+PhospholipaseD	2
PspA->PspB->PspC*->CR-ATPase1->TM+TM+IIGP1->NtrC-AAA+FIS-HTH->	2
PspA->PspB->PspC*->Phageshock_PspD->SIG+RHOD-CDC25->?->?->?->SIG+TM+TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM->	2
PspA->PspB->PspC*->Phageshock_PspD->SIG+RHOD-CDC25->CR-ATPase1->TM+TM+IIGP1->NtrC-AAA+FIS-HTH->	2
PspA->PspB->TM*->||<-Cluster185_3clades<-BLBD<-Cluster212_2clades	2
PspA->PspB*->PspC->?->?->NtrC-AAA+FIS-HTH->	2
PspA->PspB*->PspC->?*->PspB*->?->?->?->||<-?<-Cluster36_2clades	2
PspA->PspB*->PspC->PspB*->?->?->?->||<-?<-Cluster36_2clades	2
PspA->PspB*->PspC->PspB*->TM+PspB*->TM+PspB*->	2
PspA->SIG+TM+TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->	2
PspA*->?->?->||<-DAGKIN	2
PspA*->?->?->SIG+TM+HISKIN->REC+LuxR-HTH->	2
PspA*->?->||<-NtrC-AAA+FIS-HTH||PspA*->?->PspC->SIG+Toast-rack->	2
PspA*->?->DXP_synthase_N+Transket_pyr+Transketolase_C->Mbetalac->?->||<-SIG+PEP-utilisers-C<-?<-PCNA	2
PspA*->?->SIG+TM+HISKIN->REC+LuxR-HTH->||<-CarboxypepD-reg-IG	2
PspA*->||<-?||LDcluster4->?->||<-GDP_Man_Dehyd<-?<-SIG+PurT-ATPgrasp	2
PspA*->||<-?||PspA*->	2
PspA*->||<-?<-SIG+PG-binding+PG-binding<-SIG+TM+TM+TM+TM+TM+TM<-TM+TM+TM+TM+TM+TM<-ABC-ATPase	2
PspA*->||<-ABC-ATPase	2
PspA*->||<-Peptidase_M20<-?<-?<-?<-Peptidase_M20<-?<-ABC-ATPase	2
PspA*->||<-TIMbarrel	2
PspA*->Arginase->Pyr_redox_2+Pyr_redox_dim->	2
PspA*->Cluster13_7clades->||<-NadA	2
PspA*->Cluster13_7clades->SIG+TM+HISKIN->REC+LuxR-HTH->||<-?<-NadA	2
PspA*->Cluster13_7clades->SIG+TM+HISKIN->REC+LuxR-HTH->||<-NadA	2
PspA*->PspA*->Thioredoxin->	2
PspA*->PspB->	2
PspA*->PspB->?->||<-Pyr_redox_2+Pyr_redox_dim	2
PspA*->PspB->PspC->?->SIG+PspB->	2
PspA*->PspB->PspC->SIG+PspB->?->?->||<-?<-ncRNA<-GTPase-AIG	2
PspA*->SIG+ABhydrolase->?->DXP_synthase_N+Transket_pyr+Transketolase_C->||<-?||?->CoA_binding_2->	2
PspA*->SIG+TM+TM+TM->Cluster67_6clades->	2
PspA*->TM+ZNR->Band_7+ZNR->	2
PspA*->YiaAB->?->||<-?<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM	2
PspB->PspC*->SIG+BLBD->SIG+BLBD->SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->Cluster131_2clades->	2
PspB*->?->?->?->ABC-ATPase->	2
PspB+PspC*->	2
PspC->?->LiaI-LiaF-TM+Toast-rack*->	2
PspC*->?->?->||<-MuB-ATPase	2
PspC*->?->||<-Cluster547_2clades	2
PspC*->?->ABC-ATPase->SIG+TM+TM+TM->	2
PspC*->?->Cluster531_2clades->	2
PspC*->?->PspC+TM+TM+TM+TM+TM+Toast-rack*->||<-PspC+TM+TM+TM+TM+HISKIN*<-REC+LuxR-HTH||Cluster115_3clades->	2
PspC*->?->SIG+PspC+TM+TM+TM+TM+TM+Toast-rack*->||<-PspC+TM+TM+TM+TM+HISKIN*<-REC+LuxR-HTH||Cluster115_3clades->	2
PspC*->||<-?||DEOR-HTH+WYL+WYL-C->	2
PspC*->||<-?<-?<-?<-ABC-ATPase<-NUDIX	2
PspC*->||<-?<-?<-HTH<-?<-?<-RNA-Helicase	2
PspC*->||<-?<-DDRP-ZNR+AT-HOOK-like+DDRP-betaprime+BBM2-DDRP+SBHM-DDRP+SBHM-DDRP+SBHM-DDRP	2
PspC*->||<-?<-GNTR-HTH	2
PspC*->||<-CHTH+DSBH||?->SIG+TM+TM+TM+TM->	2
PspC*->||<-MODE-HTH+PBPII	2
PspC*->||<-tRNA<-?<-Ferredoxin-RRM	2
PspC*->Cluster364_3clades->	2
PspC*->ISOCOT->?->PELOTA->	2
PspC*->O6MGT-HTH->Cluster786_2clades->	2
PspC*->PspA->||<-?<-Cluster733_2clades<-?<-?<-?<-Cluster771_2clades	2
PspC*->RNA-Helicase+A18->	2
PspC*->SMS-KaiC->	2
PspC+LiaI-LiaF-TM*->?->CHC2+Toprim-DNAG->SIGMA-HTH->	2
PspC+LiaI-LiaF-TM*->LiaI-LiaF-TM+Toast-rack->?->ABC-ATPase->?->?->||<-Cluster749_2clades<-TM	2
PspC+LiaI-LiaF-TM*->LiaI-LiaF-TM+Toast-rack->||<-DAGKIN	2
PspC+LiaI-LiaF-TM*->SIG+TM+Toast-rack->Mbetalac->	2
PspC+TM*->?->ABC-ATPase->	2
PspC+TM+TM->LiaI-LiaF-TM+Toast-rack*->Toast-rack*->	2
PspC+TM+TM->PspC+TM+TM->SIG+TM+Toast-rack*->?->||<-?<-OsmC||Radical_SAM->	2
PspC+TM+TM+TM+TM+HISKIN*->||<-PspC+TM+TM+TM+TM+Toast-rack*	2
PspC+TM+TM+TM+TM+HISKIN*->REC+LuxR-HTH->||<-SIG+TM+TM+TM+TM+TM+TM+TM+TM||MODE-HTH+PBPII->	2
PspC+TM+TM+TM+TM+TM+Toast-rack*->||<-PspC+TM+TM+TM+TM+HISKIN*<-REC+LuxR-HTH<-?||?->SIG+TM+TM+TM+TM+TM+TM+TM+TM->||<-MODE-HTH+PBPII	2
PspC+TM+TM+TM+TM+TM+Toast-rack*->LiaI-LiaF-TM->PspC+TM+TM->	2
PSYN->?->||<-?<-SIG+TM<-CheC<-CheC<-SIG+NtrC-AAA+FIS-HTH<-SIG+TM+TM+TM+TM+TM*<-SIG+APATPase<-ParA-Soj-PloopNTPase	2
PSYN->?->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->	2
PSYN->SIG+TM+TM+TM+TM+TM+TM->?->SIG+TM+TM+TM->?->||<-PspC*||FKBP->RADICAL-SAM+TRAM->	2
PYRIN->SIG+TM+TM+TM+TM+TM*->NACHT->Cluster59_2clades->?->Cluster24_2clades->SIG+TM+TM+TM->SIG+TM->SIG+TM+TM+TM+TM+TM->	2
Radical_SAM->?->polyprenyl_synt->?->BACTERIALFRINGE+TM+TM->SIG+Toast-rack*->	2
REC+LuxR-HTH->PspC+TM+TM+TM+TM+HISKIN*->?->||<-PspC+TM+TM+TM+TM+TM+Toast-rack*	2
REC+LuxR-HTH->PspC+TM+TM+TM+TM+HISKIN*->||<-PspC+TM+TM+TM+TM+TM+Toast-rack*<-?||?->?->?->ABhydrolase->	2
REC+LuxR-HTH->PspC+TM+TM+TM+TM+HISKIN*->||<-PspC+TM+TM+TM+TM+TM+Toast-rack*<-?||?->ABhydrolase->	2
REC+LuxR-HTH->PspC+TM+TM+TM+TM+HISKIN*->||<-PspC+TM+TM+TM+TM+Toast-rack*<-?<-?||sf+TM+TM->	2
REC+LuxR-HTH->PspC+TM+TM+TM+TM+HISKIN*->||<-PspC+TM+TM+Toast-rack*||?->||<-?||ABhydrolase->	2
REC+LYTTR->?->?->?->?->?->SIG+TM+Toast-rack*->SIG+TM+HISKIN-LiaS-like->REC+LYTTR->	2
REC+LYTTR->PspC+LiaI-LiaF-TM+TM+TM+HISKIN-LiaS-like->||<-PspC+TM+TM+TM+TM+Toast-rack*	2
REC+LYTTR->PspC+LiaI-LiaF-TM+TM+TM+HISKIN-LiaS-like->||<-PspC+TM+TM+TM+TM+Toast-rack*<-SIG+TM	2
RecR+Toprim_4->?->||<-DUF1707-SHOCT-bihelical+Toast-rack*<-?<-?<-?<-?<-?<-?<-SIG+TM+TM+TM+TM+TM+TM+Spermine_synth	2
RING+EP1+CR-Kinase*->	2
RING+UBP-ZNF+EP1*->	2
RNA-Helicase+A18->ABC-ATPase+ABC-ATPase->?->PIG-L->Toast-rack*->Phage_holin_4_2->	2
RNA-Helicase+A18->SbcC+SbcC+ABC-ATPase+SbcC->?->PspC*->SIG+TM+TM+TM->?->?->?->Cluster87_3clades->TM->	2
RnaseIII->?->?->||<-HxxxH<-PspC*||?->?->HTH->	2
RnaseT2->?->PspC*->	2
SAM-methylase->||<-?<-?||?->||<-sf+TM<-?<-PspA*	2
SAM+SAM+SAM->EP1+SAM+SAM+SAM*->	2
SAM+SAM+SAM->EP1+SAM+SAM+SAM*->EP1+SAM+SAM+SAM*->	2
SbcC+EP1+SbcC*->	2
SbcC+SbcC+ABC-ATPase+SbcC->?->?->||<-?||PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM*->	2
SbcC+SbcC+ABC-ATPase+SbcC->?->?->Toast-rack->PspC*->PspC*->SIG+TM+TM+TM->	2
SbcC+SbcC+SWACOS+SbcC->?->TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->||<-?||PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM*->	2
Semialdhyde_dh+Semialdhyde_dhC->FAD_syn+Flavokinase->SPOUT_MTase->SIG+Toast-rack*->	2
sGTP->PspC*->||<-?||?->sGTP->	2
SidE+BetaPropeller*->	2
SidE+Phage-tail-tape*->Sipho_tail->PTSEIIA1->SIG+Mbetalac+CW-binding-betahairpin->MED10->Cluster1052_2clades->TM->SIG+DUF4106->	2
SIG+Acyltransferase->Toast-rack*->SIG+PADR-HTH->REC+LYTTR->SIG+TM+HAMP+HISKIN->	2
SIG+ApeA-NTD1+EP1*->	2
SIG+Beta-lactamase->SIG+Toast-rack*->	2
SIG+BetaPropeller->?->?->?->?->IONCHANNEL->SIG+TM->SIG+TM+TM+TM+TM+TM*->SIG+TM+TM+TM+TM+TM->?->?->?->?->||<-NACHT<-SIG+BetaPropeller	2
SIG+BetaPropeller->?->TM->SIG+TM->SIG+TM+TM+TM->SIG+TM->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->SIG+APATPase->ParA-Soj-PloopNTPase->PilZ->SIGMA-HTH->	2
SIG+BLBD->SIG+Toast-rack*->	2
SIG+DHO_dh->SIG+Abhydrolase_3->SIG+Toast-rack*->	2
SIG+DUF1707-SHOCT-bihelical*->	2
SIG+DUF1707-SHOCT-bihelical+SHS2*->	2
SIG+DUF3046*->	2
SIG+DUF4159->MoxR-AAA->SIG+VWA->?->SIG+TM+Snf7*->	2
SIG+EP1+RING*->	2
SIG+Glyco_hydro_2_N+Glyco_hydro_2+Glyco_hydro_2_C->SIG+Toast-rack*->||<-?<-SIGMA-HTH	2
SIG+HAMP+HISKIN->?->?->?->ABC-ATPase->ABC-ATPase->?->PspC*->SIG+TM+TM+TM->?->?->TM->	2
SIG+HSP20->||<-GDP_Man_Dehyd<-?<-?<-?||SIG+Toast-rack*->?->?->RecG_wedge+DEAD+Helicase_C->	2
SIG+IF2-HTH+sGTP->Cluster482_2clades->PSYN->Cluster294_3clades->||<-?||?->TM+TM+TM+TM->SIG+TM+TM+TM+TM+TM*->	2
SIG+IG+IG+IG+Phytase-like+SUN+TM+TM+EP1+EP1+EP1+EP1+EP1*->	2
SIG+Lysozyme->SIG+TM+TM+TM+TM+TM*->Cluster27_3clades->?->Cluster623_2clades->?->SIG+TM->?->Cluster133_3clades->	2
SIG+MA+BRCT*->	2
SIG+OmpA-beta-barrel->SIG+Toast-rack*->?->?->||<-?<-?||?->?->Cluster1309_2clades->	2
SIG+OmpA-beta-barrel->SIG+Toast-rack*->?->||<-?<-?<-SIG+Fasciclin	2
SIG+OmpA-beta-barrel->SIG+Toast-rack*->||<-?||YTCD-HTH->	2
SIG+PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-Rack*->SIG+Toast-rack*->	2
