

       operon                                                                                                                                                                                                                                                                                                                                                               count   clade
144    <-TIMbarrel<-?<-?<-?<-?||PADR-HTH->SIG+DUF1700-alpha-helical+TM+TM+TM*->                                                                                                                                                                                                                                                                                                 3       1
164    ATPcone+Thioredoxin->RADICAL-SAM->DUF1707-SHOCT-bihelical+Toast-rack*->                                                                                                                                                                                                                                                                                                  3       1
187    <-SIG+TM+TM+TM+TM+TM+HAMP+ACYC||SIG+TM+TM+TM+TM+TM+TM->SIG+TM+TM+TM+TM+HISKIN->REC+GerE-HTH->DUF1707-SHOCT-bihelical+Toast-rack*->                                                                                                                                                                                                                                       3       1
194    Cluster390_2clades->?->DUF1707-SHOCT-bihelical+Toast-rack*->                                                                                                                                                                                                                                                                                                             3       1
195    <-SIG+TM+TM+TM+TM+TM<-?||SIG+TM+TM+TM+TM+HISKIN->REC+GerE-HTH->?->DUF1707-SHOCT-bihelical+Toast-rack*->||<-?<-GNTR-HTH                                                                                                                                                                                                                                                   3       1
199    SIG+Ribosomal_S14->SIG+S18-HTH->SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM->?->DUF1707-SHOCT-bihelical+Toast-rack*->                                                                                                                                                                                                                                                                 3       1
204    SIG+TM+TM->||<-TM||?->?->?->DUF1707-SHOCT-bihelical+Toast-rack*->                                                                                                                                                                                                                                                                                                        3       1
238    <-MerR-HTH||?->||<-?<-SIGMA-HTH<-?<-?<-?||DUF1707-SHOCT-bihelical+Toast-rack*->SIG+DeoC->                                                                                                                                                                                                                                                                                3       1
248    DUF1707-SHOCT-bihelical+Toast-rack*->||<-?<-?||?->||<-?||Peptidase_M24->                                                                                                                                                                                                                                                                                                 3       1
313    PADR-HTH->DUF1700-alpha-helical+Toast-rack*->BPL_LplA_LipB+Lip_prot_lig_C->||<-GATase_3<-SIG+Mur_ligase_M+DUF1727                                                                                                                                                                                                                                                        3       1
326    SIG+TM+TM+TM+TM+TM+TM+Toast-rack*->FURR-HTH->                                                                                                                                                                                                                                                                                                                            3       1
362    SIG+TM+TM+TM->DTXR-HTH->?->?->PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->||<-?<-SIG+TM+TM+TM+TM+TM+TM                                                                                                                                                                                                                                                   3       1
376    Phos_pyr_kin->TMP-TENI->PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                     3       1
382    Aldedh->Acetate_kinase->PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                     3       1
383    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->||<-CyaA                                                                                                                                                                                                                                                                                                     3       1
385    SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->?->||<-?<-RHOD-CDC25                                                                                                                                                                                                                                                   3       1
406    ?*->||<-?||?->||<-?||?->||<-DUF1700-alpha-helical+TM+TM+TM*<-PADR-HTH                                                                                                                                                                                                                                                                                                    3       1
412    PADR-HTH->DUF1700-alpha-helical+TM+TM+TM*->SIG+Toast-rack*->ACET->||<-?<-?<-SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM                                                                                                                                                                                                                                                         3       1
461    <-Pkinase+TM+PASTA+PASTA+PASTA||?->||<-SIG+TM+TM+TM+TM+TM+TM+TM+TM||REC+GerE-HTH->PspC+LiaI-LiaF-TM+HISKIN*->||<-?<-?<-PspC+TM+TM+TM+TM+TM+Toast-rack*<-?||?->||<-?||?->||<-ADH_N+ADH_zinc_N<-Aldedh                                                                                                                                                                     3       1
465    PspC*->LiaI-LiaF-TM->PspC+TM+TM+TM+TM+TM+Toast-rack*->||<-PspC+LiaI-LiaF-TM+HISKIN*<-REC+GerE-HTH                                                                                                                                                                                                                                                                        3       1
471    LiaI-LiaF-TM->PspC+TM+TM+TM+TM+TM+Toast-rack*->||<-PspC+LiaI-LiaF-TM+HISKIN*<-REC+GerE-HTH                                                                                                                                                                                                                                                                               3       1
512    DUF1700-alpha-helical+TM+TM*->ISOCOT->                                                                                                                                                                                                                                                                                                                                   3       1
542    SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->REC+GerE-HTH->PspC+LiaI-LiaF-TM+HISKIN*->||<-PspC+TM+TM+TM+TM+Toast-rack*                                                                                                                                                                                                                                                    3       1
546    PspC+TM+TM+TM+TM+Toast-rack*->||<-PspC+LiaI-LiaF-TM+HISKIN*<-REC+GerE-HTH||Pkinase+TM+PASTA+PASTA+PASTA->                                                                                                                                                                                                                                                                3       1
575    PspC+TM+TM*->LiaI-LiaF-TM+TM+Toast-rack*->?->||<-tRNA-synt_His+HGTP_anticodon                                                                                                                                                                                                                                                                                            3       1
630    CesT_Tir-DUF2170->PspA*->SIG+TM+TM->SIG+Band_7+DUF5401->?->Betapropeller+AAA-ATPase*->?->PhospholipaseD->                                                                                                                                                                                                                                                                3       1
645    PADR-HTH->PspC+TM+TM+TM+Toast-rack*->                                                                                                                                                                                                                                                                                                                                    3       1
1603   Toast-rack*->PspC*->SIG+TM+TM+TM->                                                                                                                                                                                                                                                                                                                                      28       1
672    LiaI-LiaF-TM+Toast-rack*->LiaI-LiaF-TM+Toast-rack*->GTPase-AIG->                                                                                                                                                                                                                                                                                                         3       1
709    ZF+TM->TM+TM+TM+TM->LiaI-LiaF-TM+Toast-rack*->                                                                                                                                                                                                                                                                                                                           3       1
712    SIGMA-HTH->ZF+TM->TM+TM+TM+TM->LiaI-LiaF-TM+Toast-rack*->FURR-HTH->                                                                                                                                                                                                                                                                                                      3       1
714    SIGMA-HTH->?->?->LiaI-LiaF-TM+Toast-rack*->                                                                                                                                                                                                                                                                                                                              3       1
720    <-SIG+O6MGT-HTH||LiaI-LiaF-TM+Toast-rack*->?->?->||<-?<-?<-?<-SIG+Amino_oxidase                                                                                                                                                                                                                                                                                          3       1
738    LiaI-LiaF-TM+Toast-rack*->SIG+TM+TM+TM+TM+HISKIN->REC+GerE-HTH->?->||<-ADH_N+ADH_zinc_N                                                                                                                                                                                                                                                                                  3       1
762    REC+GerE-HTH->?->?->?->?->SIG+TM+TM+TM+Toast-rack*->SIG+TM+TM+TM+Toast-rack*->                                                                                                                                                                                                                                                                                           3       1
791    SIG+YIBEF-BD+TM+TM+TM+TM+TM+TM+TM->SIG+YIBEF-BD+TM+TM+TM+TM+TM+TM+TM->Coiled-coil+Toast-rack*->PspC*->SIG+TM+TM+TM->                                                                                                                                                                                                                                                     3       1
820    ZNR+DUF2089-HTH->DUF2089-HTH->Toast-rack+Toast-rack*->                                                                                                                                                                                                                                                                                                                   3       1
821    Peptidase_M24->?->SIG+TM+TM+Toast-rack*->SIG+TM+TM+TM+TM+HISKIN->REC+GerE-HTH->||<-DHH<-SIG+TM+TM+TM+TM+TM+TM                                                                                                                                                                                                                                                            3       1
833    SIG+TM+TM+Toast-rack*->METHYLASE->                                                                                                                                                                                                                                                                                                                                       3       1
864    Snf7+ZDNA-HTH->MIT+Classical-AAA*->||<-?<-HerA                                                                                                                                                                                                                                                                                                                           3       1
875    Snf7->Snf7->MIT+Classical-AAA*->                                                                                                                                                                                                                                                                                                                                         3       1
918    MIT+Classical-AAA*->TPR+TM+TM+TM+TM+TM+TM->||<-?||?->||<-?<-ABC-ATPase                                                                                                                                                                                                                                                                                                   3       1
932    LiaI-LiaF-TM*->PspA*->PspC*->PspA*->SIG+TM+Toast-rack*->SIG+TM+HISKIN->REC+GerE-HTH->                                                                                                                                                                                                                                                                                    3       1
943    SIG+TM+Toast-rack*->SIG+TM+TM+TM+TM+HISKIN->REC+GerE-HTH->DNA_alkylation->?->||<-?<-SIG+LexA-protease+TraF-SignalPeptidase                                                                                                                                                                                                                                               3       1
954    LRP-HTH->DJ-1_PfpI->PspC+TM+TM*->SIG+TM+Toast-rack*->?->||<-?<-OsmC||RADICAL-SAM->||<-Peptidase_C26<-SIG+MipZ+cobW                                                                                                                                                                                                                                                       3       1
2317   PspC*->SIG+TM+TM+TM->?->?->NAD_Gly3P_dh_N+NAD_Gly3P_dh_C->NTP_transferase->                                                                                                                                                                                                                                                                                             29       1
1037   ILVD_EDD->?->?->?->||<-Cluster390_2clades<-SIG+ALAD<-SIG+Peptidase_M28||SIG+Toast-rack*->                                                                                                                                                                                                                                                                                3       1
1071   SIG+Toast-rack*->PspC*->                                                                                                                                                                                                                                                                                                                                                 3       1
1090   SIG+RhoN+RhoN+RNASEII+S1->SIG+Toast-rack*->?->||<-tRNA<-?||?->?->?->?->||<-SIG+Band_7                                                                                                                                                                                                                                                                                    3       1
1109   SIGMA-HTH->TM+TPR->SIG+Toast-rack*->?->Ala_racemase_N+Ala_racemase_C->||<-?||?->SIG+TM+TM+TM+TM->                                                                                                                                                                                                                                                                        3       1
1152   SIG+Toast-rack*->SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->                                                                                                                                                                                                                                                                                                                  3       1
1170   SIGMA-HTH->ZF+TM+TPR->SIG+Toast-rack*->Toast-rack*->                                                                                                                                                                                                                                                                                                                     3       1
1189   SIG+TM+TM+TM+TM+TM+TM+TM+TM->?->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                                                        3       1
1193   SIG+TM+TM+TM+TM+TM->SIG+Toast-rack*->Ferredoxin-RRM->                                                                                                                                                                                                                                                                                                                    3       1
1217   PADR-HTH->TM+TM+TM+TM->SIG+Toast-rack*->TM+IMM->                                                                                                                                                                                                                                                                                                                         3       1
1227   SIG+Toast-rack*->?->ADH_N+ADH_zinc_N->                                                                                                                                                                                                                                                                                                                                   3       1
1238   SIG+Toast-rack*->||<-?||?->Smr->                                                                                                                                                                                                                                                                                                                                         3       1
1249   <-Aminotran_4||?->||<-IMS+IMS_HHH+IMS_C<-?<-OMPdecase||Toast-rack*->SIG+Toast-rack*->Mur_ligase_M+Mur_ligase_C->                                                                                                                                                                                                                                                         3       1
1250   Toast-rack*->SIG+Toast-rack*->Mur_ligase_M+Mur_ligase_C->                                                                                                                                                                                                                                                                                                                3       1
1253   PspA*->?->?->?->?->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                                                                     3       1
1261   <-pspF-NtrC-AAA+FIS-HTH||PspA*->PspB*->SIG+Toast-rack*->SIG+Toast-rack*->SIG+TM+TM+TM+TM+TM->ABC-ATPase->                                                                                                                                                                                                                                                                3       1
1283   SIG+BLBD->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                                                                              3       1
1296   SIG+Toast-rack*->||<-?||?->TM+TM+TM+TM+TM->                                                                                                                                                                                                                                                                                                                              3       1
453    REC+GerE-HTH->PspC+LiaI-LiaF-TM+HISKIN*->||<-PspC+TM+TM+TM+TM+TM+Toast-rack*                                                                                                                                                                                                                                                                                            29       1
1303   FURR-HTH->?->?->?->?->?->SIG+Toast-rack*->||<-SIG+PSYN                                                                                                                                                                                                                                                                                                                   3       1
1317   SIG+Toast-rack*->DSBH->HhH-GPD->                                                                                                                                                                                                                                                                                                                                         3       1
1325   <-O6MGT-HTH<-?||?->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                                                                     3       1
1326   SIG+Toast-rack*->?->SIG+TM+TM+TM->                                                                                                                                                                                                                                                                                                                                       3       1
1354   RADICAL-SAM->SIG+Toast-rack*->                                                                                                                                                                                                                                                                                                                                           3       1
2074   HTH->PspA*->||<-?<-ABC-ATPase<-?||DUF3046*->                                                                                                                                                                                                                                                                                                                            31       1
1544   <-MarR-HTH<-?<-?||?->||<-?<-SIGMA-HTH||Glyoxalase->Toast-rack*->                                                                                                                                                                                                                                                                                                         3       1
1641   <-Pkinase+TM+PASTA+PASTA+PASTA<-?<-Thy1||?->Toast-rack*->                                                                                                                                                                                                                                                                                                                3       1
1656   Toast-rack*->SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->||<-Cob_adeno_trans                                                                                                                                                                                                                                                                                                   3       1
1677   YifB-AAA->?->Toast-rack*->DUF520->                                                                                                                                                                                                                                                                                                                                       3       1
1691   SIG+TM+TM+TM+TM+HISKIN->REC+GerE-HTH->Toast-rack*->                                                                                                                                                                                                                                                                                                                      3       1
1716   HTH->?->?->?->?->?->Toast-rack*->                                                                                                                                                                                                                                                                                                                                        3       1
1738   SIG+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->Toast-rack*->                                                                                                                                                                                                                                                                                                                3       1
1739   Toast-rack*->||<-SIG+DHO_dh<-?<-Smr<-?||THF_DHG_CYH+THF_DHG_CYH_C->                                                                                                                                                                                                                                                                                                      3       1
1814   TM+TM+Metallopeptidase+TM+TM->?->Tfu_1009*->                                                                                                                                                                                                                                                                                                                             3       1
2009   PspA*->PspC*->                                                                                                                                                                                                                                                                                                                                                          34       1
1845   PspA->Psp-AA*->TM+TM+Metallopeptidase+TM+TM->Tfu_1009*->                                                                                                                                                                                                                                                                                                                 3       1
1850   PspA->Psp-AA*->SIG+TM+TM+HISKIN->REC+GerE-HTH->                                                                                                                                                                                                                                                                                                                          3       1
1885   SIG+TPM_phosphatase+TM->PspA*->?->?->||<-?<-?<-CMD||?->SIG+SBP_bac_5->                                                                                                                                                                                                                                                                                                   3       1
1891   SIG+TPM_phosphatase+TM->PspA*->?->REC+GerE-HTH->SIG+TM+HAMP+HISKIN->||<-Acyltransferase                                                                                                                                                                                                                                                                                  3       1
1903   PspA*->?->||<-ABC-ATPase                                                                                                                                                                                                                                                                                                                                                 3       1
1944   DUF4178->PspA*->                                                                                                                                                                                                                                                                                                                                                         3       1
1994   PspA*->?->||<-?||FAD-NAD-dep-oxidoreductase->                                                                                                                                                                                                                                                                                                                            3       1
1998   PspA*->PspB->PspC+PspB*->                                                                                                                                                                                                                                                                                                                                                3       1
2004   PspA*->PspC*->Phageshock_PspG->||<-?||?->||<-SIG+TM+TM+TM+TM+TM+TM+TM                                                                                                                                                                                                                                                                                                    3       1
2013   PspA*->PspC*->?->||<-ENOYCOADEHYD                                                                                                                                                                                                                                                                                                                                        3       1
2019   PspA*->PspB*->PspC+PspB*->?->?->?->?->?->pspF-NtrC-AAA+FIS-HTH->                                                                                                                                                                                                                                                                                                         3       1
1873   SIG+TPM_phosphatase+TM->PspA*->                                                                                                                                                                                                                                                                                                                                         34       1
2072   <-TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM<-?<-?||Thioredoxin->PspA*->                                                                                                                                                                                                                                                                                                        3       1
2121   HTH->PspA*->PspM*->||<-?<-?<-?<-?||?->DUF3046*->                                                                                                                                                                                                                                                                                                                         3       1
2127   PspA*->PspM*->?->||<-?||?->?->DUF3046*->                                                                                                                                                                                                                                                                                                                                 3       1
2139   PspA*->PspM*->?->?->?->?->?->DUF3046*->                                                                                                                                                                                                                                                                                                                                  3       1
2163   CesT_Tir-DUF2170->PspA*->DUF2491->SIG+TM+TM+TM->SIG+DUF1190->?->||<-TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM                                                                                                                                                                                                                                                                  3       1
2171   CesT_Tir-DUF2170->PspA*->SIG+TM+TM->SIG+Band_7+DUF5401->Beta-Propeller+AAA-ATPase->PhospholipaseD->                                                                                                                                                                                                                                                                      3       1
2176   CesT_Tir-DUF2170->PspA*->RHH->SIG+TM+TM->SIG+Band_7+DUF5401->                                                                                                                                                                                                                                                                                                            3       1
2180   CesT_Tir-DUF2170->PspA*->SIG+TM->DUF2491->SIG+TM+TM+TM->SIG+DUF1190->?->Acyl-CoA_dh_M+Acyl-CoA_dh_1->                                                                                                                                                                                                                                                                    3       1
2218   PspA*->?->SIG+TM+TM+TM+TM+TM->                                                                                                                                                                                                                                                                                                                                           3       1
2238   FAD-NAD-dep-oxidoreductase->?->PspA*->SIG+TM+TM->SIG+Band_7+DUF5401->||<-ENOYCOADEHYD                                                                                                                                                                                                                                                                                    3       1
2271   REC+GerE-HTH->PspC*->                                                                                                                                                                                                                                                                                                                                                    3       1
2274   PspC*->||<-SIG+TM+TM+TM+TM+TM+TM+TM+TM||NAD_binding_2+NAD_binding_11->NAD_binding_2+NAD_binding_11->                                                                                                                                                                                                                                                                     3       1
2280   REC+GerE-HTH->?->?->PspC*->||<-?||REC+GerE-HTH->SIG+HAMP+HISKIN->                                                                                                                                                                                                                                                                                                        3       1
2311   ArgR-HTH->PspC*->                                                                                                                                                                                                                                                                                                                                                        3       1
524    LiaI-LiaF-TM*->PspA*->SIG+Toast-rack*->LiaI-LiaF-TM+Toast-rack*->SIG+TM+TM+HisKin->REC+GerE-HTH->                                                                                                                                                                                                                                                                       36       1
2320   PspC*->SIG+TM+TM+TM->?->?->NAD_Gly3P_dh_N+NAD_Gly3P_dh_C->                                                                                                                                                                                                                                                                                                               3       1
33     TM+TM+TM->PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*->SIG+Toast-rack*->SIG+Toast-rack*->                                                                                                                                                                                                                                                              2       1
37     TM+TM+TM->?->?->PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*->SIG+Toast-rack*->SIG+Toast-rack*->                                                                                                                                                                                                                                                        2       1
38     SIG+Toast-rack*->PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*->SIG+Toast-rack*->?->SIG+Toast-rack*->                                                                                                                                                                                                                                                    2       1
40     TM+TM+TM->PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM+Toast-rack*->?->SIG+Toast-rack*->                                                                                                                                                                                                                                                                            2       1
55     PADR-HTH->DUF1700-alpha-helical+PspC+TM+TM+TM+TM+Toast-rack*->                                                                                                                                                                                                                                                                                                           2       1
88     PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->?->?->?->?->REC+LuxR-HTH->ABC-ATPase->                                                                                                                                                                                                                                                                               2       1
90     PADR-HTH->DUF1700-alpha-helical+TM+TM+TM+TM+TM+TM*->SIGMA-HTH->?->||<-?||?->||<-ACET||?->REC+LuxR-HTH->                                                                                                                                                                                                                                                                  2       1
118    TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM+TM->||<-?||PADR-HTH->DUF1700-alpha-helical+PspC+LiaI-LiaF-TM*->                                                                                                                                                                                                                                                                         2       1
150    Toast-rack*->?->SIG+TM+TM+TM+TM+TM->DUF1707-SHOCT-bihelical+Toast-rack*->                                                                                                                                                                                                                                                                                                2       1
156    <-NUDIX<-?||DUF1707-SHOCT-bihelical+Toast-rack*->?->?->?->?->?->?->SIG+TM+TM+TM+TM+TM+TM+METHYLASE->                                                                                                                                                                                                                                                                     2       1
178    DUF1707-SHOCT-bihelical+Toast-rack*->SIG+TM->                                                                                                                                                                                                                                                                                                                            2       1
